# DCSoakDump v1 | 2026-05-15T03:21:04 | mode=SUMMARY | seed=0 | n_cells=<unknown>
tick	day	phase	phase_kind	field	min	max	mean	std
1	58	1.9034	climate	cell.temp	0.000000	0.999876	0.400170	0.257087
1	58	1.9034	climate	cell.temp_baseline	0.000000	0.996061	0.394142	0.287956
1	58	1.9034	climate	cell.temp_30d	0.000000	1.000000	0.403574	0.269683
1	58	1.9034	climate	cell.temp_365d	0.000000	1.000000	0.403574	0.269683
1	58	1.9034	climate	cell.temp_anomaly	-0.000000	0.000000	-0.000000	0.000000
1	58	1.9034	climate	cell.moisture	0.183434	1.000000	0.605133	0.187432
1	58	1.9034	climate	cell.snow_cover	0.000000	0.850000	0.019224	0.115024
1	58	1.9034	climate	cell.sea_ice_frac	0.000000	1.000000	0.057029	0.196529
1	58	1.9034	climate	cell.weather_intensity	0.000000	1.000000	0.106580	0.235148
1	58	1.9034	climate	cell.weather_cloud	0.000000	1.000000	0.357258	0.165019
1	58	1.9034	climate	cell.weather_precip	0.000000	1.000000	0.256549	0.184137
1	58	1.9034	climate	cell.elevation	0.000000	0.911686	0.402331	0.242077
1	58	1.9034	climate	cell.base_moisture	0.210707	1.000000	0.634439	0.187029
1	58	1.9034	climate	cell.ocean_current_x	-0.872092	1.000000	0.017521	0.266886
1	58	1.9034	climate	cell.ocean_current_y	-1.000000	0.543492	0.003498	0.109875
1	58	1.9034	climate	cell.wind_x	-1.000000	0.999986	-0.589347	0.422608
1	58	1.9034	climate	cell.wind_y	-1.000000	0.999997	0.476568	0.496947
1	58	1.9034	climate	cell.slp	-0.395492	1.058657	0.029686	0.378602
1	58	1.9034	climate	cell.wind_speed	0.167144	0.650000	0.550067	0.132901
1	58	1.9034	climate	cell.upwelling_strength	-0.889997	0.000000	-0.260642	0.276142
1	58	1.9034	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
1	58	1.9034	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
1	58	1.9034	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
1	58	1.9034	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
1	58	1.9034	climate	cell.terrain	0	25	5.451667	6.510709
1	58	1.9034	climate	cell.landform	0	10	3.083333	2.716718
1	58	1.9034	climate	cell.vegetation	0	23	5.497917	7.277534
1	58	1.9034	climate	cell.base_terrain	0	25	5.451667	6.510709
1	58	1.9034	climate	cell.base_landform	0	12	3.100000	2.755752
1	58	1.9034	climate	cell.base_vegetation	0	23	5.510833	7.286509
1	58	1.9034	climate	cell.cover	0	5	0.492500	1.375964
1	58	1.9034	climate	cell.weather_type	0	7	0.689583	1.676770
1	58	1.9034	climate	cell.is_water	0	1	0.653750	0.475774
1	58	1.9034	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
1	58	1.9034	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
1	58	1.9034	climate	cell.weather_vapor	0.237586	1.000000	0.704787	0.135734
1	58	1.9034	climate	cell.weather_convergence	0.000000	0.805497	0.318196	0.113019
1	58	1.9034	climate	cell.weather_instability	0.000000	1.000000	0.586488	0.291332
1	58	1.9034	climate	cell.weather_field_init	1	1	1.000000	0.000000
1	58	1.9034	climate	cell.air_mass_temp_anomaly	-0.050924	0.093675	0.002453	0.025897
1	58	1.9034	climate	cell.has_river	0	1	0.070000	0.255147
1	58	1.9034	climate	cell.ema_initialized	1	1	1.000000	0.000000
1	58	1.9034	climate	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
1	58	1.9034	climate	world.sea_ice_fraction_buffer_hash	2520080998	2520080998	2520080998.000000	0
2	59	1.9707	climate	cell.temp	0.000000	0.999876	0.399955	0.257041
2	59	1.9707	climate	cell.temp_baseline	0.000000	0.996061	0.394142	0.287956
2	59	1.9707	climate	cell.temp_30d	0.000000	1.000000	0.403574	0.269683
2	59	1.9707	climate	cell.temp_365d	0.000000	1.000000	0.403574	0.269683
2	59	1.9707	climate	cell.temp_anomaly	-0.000000	0.000000	-0.000000	0.000000
2	59	1.9707	climate	cell.moisture	0.179783	1.000000	0.600692	0.185214
2	59	1.9707	climate	cell.snow_cover	0.000000	0.850000	0.019224	0.115024
2	59	1.9707	climate	cell.sea_ice_frac	0.000000	1.000000	0.058026	0.199881
2	59	1.9707	climate	cell.weather_intensity	0.000000	1.000000	0.106580	0.235148
2	59	1.9707	climate	cell.weather_cloud	0.000000	1.000000	0.357258	0.165019
2	59	1.9707	climate	cell.weather_precip	0.000000	1.000000	0.256549	0.184137
2	59	1.9707	climate	cell.elevation	0.000000	0.911686	0.402331	0.242077
2	59	1.9707	climate	cell.base_moisture	0.210707	1.000000	0.634439	0.187029
2	59	1.9707	climate	cell.ocean_current_x	-0.872092	1.000000	0.017521	0.266886
2	59	1.9707	climate	cell.ocean_current_y	-1.000000	0.543492	0.003498	0.109875
2	59	1.9707	climate	cell.wind_x	-1.000000	0.999986	-0.589347	0.422608
2	59	1.9707	climate	cell.wind_y	-1.000000	0.999997	0.476568	0.496947
2	59	1.9707	climate	cell.slp	-0.395492	1.058657	0.029686	0.378602
2	59	1.9707	climate	cell.wind_speed	0.167144	0.650000	0.550067	0.132901
2	59	1.9707	climate	cell.upwelling_strength	-0.889997	0.000000	-0.260642	0.276142
2	59	1.9707	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
2	59	1.9707	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
2	59	1.9707	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
2	59	1.9707	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
2	59	1.9707	climate	cell.terrain	0	25	5.451667	6.510709
2	59	1.9707	climate	cell.landform	0	10	3.083333	2.716718
2	59	1.9707	climate	cell.vegetation	0	23	5.497917	7.277534
2	59	1.9707	climate	cell.base_terrain	0	25	5.451667	6.510709
2	59	1.9707	climate	cell.base_landform	0	12	3.100000	2.755752
2	59	1.9707	climate	cell.base_vegetation	0	23	5.510833	7.286509
2	59	1.9707	climate	cell.cover	0	5	0.492500	1.375964
2	59	1.9707	climate	cell.weather_type	0	7	0.689583	1.676770
2	59	1.9707	climate	cell.is_water	0	1	0.653750	0.475774
2	59	1.9707	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
2	59	1.9707	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
2	59	1.9707	climate	cell.weather_vapor	0.237586	1.000000	0.704787	0.135734
2	59	1.9707	climate	cell.weather_convergence	0.000000	0.805497	0.318196	0.113019
2	59	1.9707	climate	cell.weather_instability	0.000000	1.000000	0.586488	0.291332
2	59	1.9707	climate	cell.weather_field_init	1	1	1.000000	0.000000
2	59	1.9707	climate	cell.air_mass_temp_anomaly	-0.050924	0.093675	0.002453	0.025897
2	59	1.9707	climate	cell.has_river	0	1	0.070000	0.255147
2	59	1.9707	climate	cell.ema_initialized	1	1	1.000000	0.000000
2	59	1.9707	climate	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
2	59	1.9707	climate	world.sea_ice_fraction_buffer_hash	2520080998	2520080998	2520080998.000000	0
3	59	2.1333	weather	cell.temp	0.000000	1.000000	0.395336	0.259095
3	59	2.1333	weather	cell.temp_baseline	0.000000	0.996061	0.394142	0.287956
3	59	2.1333	weather	cell.temp_30d	0.000000	1.000000	0.403574	0.269683
3	59	2.1333	weather	cell.temp_365d	0.000000	1.000000	0.403574	0.269683
3	59	2.1333	weather	cell.temp_anomaly	-0.000000	0.000000	-0.000000	0.000000
3	59	2.1333	weather	cell.moisture	0.098844	1.000000	0.612357	0.195881
3	59	2.1333	weather	cell.snow_cover	0.000000	0.850000	0.019224	0.115024
3	59	2.1333	weather	cell.sea_ice_frac	0.000000	1.000000	0.058026	0.199881
3	59	2.1333	weather	cell.weather_intensity	0.000000	1.000000	0.102996	0.230562
3	59	2.1333	weather	cell.weather_cloud	0.000000	1.000000	0.355645	0.163524
3	59	2.1333	weather	cell.weather_precip	0.000000	1.000000	0.254756	0.182035
3	59	2.1333	weather	cell.elevation	0.000000	0.911686	0.402331	0.242077
3	59	2.1333	weather	cell.base_moisture	0.210707	1.000000	0.634439	0.187029
3	59	2.1333	weather	cell.ocean_current_x	-0.872092	1.000000	0.017521	0.266886
3	59	2.1333	weather	cell.ocean_current_y	-1.000000	0.543492	0.003498	0.109875
3	59	2.1333	weather	cell.wind_x	-1.000000	0.999986	-0.589347	0.422608
3	59	2.1333	weather	cell.wind_y	-1.000000	0.999997	0.476568	0.496947
3	59	2.1333	weather	cell.slp	-0.395492	1.058657	0.029686	0.378602
3	59	2.1333	weather	cell.wind_speed	0.167144	0.650000	0.550067	0.132901
3	59	2.1333	weather	cell.upwelling_strength	-0.889997	0.000000	-0.260642	0.276142
3	59	2.1333	weather	cell.pos_x	0.000000	103.057022	51.528511	29.998958
3	59	2.1333	weather	cell.pos_y	0.000000	58.500000	29.250000	17.315095
3	59	2.1333	weather	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
3	59	2.1333	weather	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
3	59	2.1333	weather	cell.terrain	0	25	5.451667	6.510709
3	59	2.1333	weather	cell.landform	0	10	3.083333	2.716718
3	59	2.1333	weather	cell.vegetation	0	23	5.497917	7.277534
3	59	2.1333	weather	cell.base_terrain	0	25	5.451667	6.510709
3	59	2.1333	weather	cell.base_landform	0	12	3.100000	2.755752
3	59	2.1333	weather	cell.base_vegetation	0	23	5.510833	7.286509
3	59	2.1333	weather	cell.cover	0	5	0.492500	1.375964
3	59	2.1333	weather	cell.weather_type	0	7	0.690000	1.681933
3	59	2.1333	weather	cell.is_water	0	1	0.653750	0.475774
3	59	2.1333	weather	cell.climate_dirty_mask	0	0	0.000000	0.000000
3	59	2.1333	weather	cell.weather_dirty_mask	0	0	0.000000	0.000000
3	59	2.1333	weather	cell.weather_vapor	0.237018	1.000000	0.703351	0.134888
3	59	2.1333	weather	cell.weather_convergence	0.000000	0.805497	0.318196	0.113019
3	59	2.1333	weather	cell.weather_instability	0.000000	1.000000	0.584757	0.290877
3	59	2.1333	weather	cell.weather_field_init	1	1	1.000000	0.000000
3	59	2.1333	weather	cell.air_mass_temp_anomaly	-0.050924	0.093675	0.002453	0.025897
3	59	2.1333	weather	cell.has_river	0	1	0.070000	0.255147
3	59	2.1333	weather	cell.ema_initialized	1	1	1.000000	0.000000
3	59	2.1333	weather	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
3	59	2.1333	weather	world.sea_ice_fraction_buffer_hash	2520080998	2520080998	2520080998.000000	0
3	59	2.4000	weather	cell.temp	0.000000	1.000000	0.394716	0.258975
3	59	2.4000	weather	cell.temp_baseline	0.000000	0.996061	0.394142	0.287956
3	59	2.4000	weather	cell.temp_30d	0.000000	1.000000	0.403574	0.269683
3	59	2.4000	weather	cell.temp_365d	0.000000	1.000000	0.403574	0.269683
3	59	2.4000	weather	cell.temp_anomaly	-0.000000	0.000000	-0.000000	0.000000
3	59	2.4000	weather	cell.moisture	0.093166	1.000000	0.589193	0.185024
3	59	2.4000	weather	cell.snow_cover	0.000000	0.850000	0.019224	0.115024
3	59	2.4000	weather	cell.sea_ice_frac	0.000000	1.000000	0.059016	0.203206
3	59	2.4000	weather	cell.weather_intensity	0.000000	1.000000	0.091471	0.217019
3	59	2.4000	weather	cell.weather_cloud	0.000000	1.000000	0.351798	0.161369
3	59	2.4000	weather	cell.weather_precip	0.000000	1.000000	0.250434	0.178539
3	59	2.4000	weather	cell.elevation	0.000000	0.911686	0.402331	0.242077
3	59	2.4000	weather	cell.base_moisture	0.210707	1.000000	0.634439	0.187029
3	59	2.4000	weather	cell.ocean_current_x	-0.872092	1.000000	0.017521	0.266886
3	59	2.4000	weather	cell.ocean_current_y	-1.000000	0.543492	0.003498	0.109875
3	59	2.4000	weather	cell.wind_x	-1.000000	0.999986	-0.589347	0.422608
3	59	2.4000	weather	cell.wind_y	-1.000000	0.999997	0.476568	0.496947
3	59	2.4000	weather	cell.slp	-0.395492	1.058657	0.029686	0.378602
3	59	2.4000	weather	cell.wind_speed	0.167144	0.650000	0.550067	0.132901
3	59	2.4000	weather	cell.upwelling_strength	-0.889997	0.000000	-0.260642	0.276142
3	59	2.4000	weather	cell.pos_x	0.000000	103.057022	51.528511	29.998958
3	59	2.4000	weather	cell.pos_y	0.000000	58.500000	29.250000	17.315095
3	59	2.4000	weather	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
3	59	2.4000	weather	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
3	59	2.4000	weather	cell.terrain	0	25	5.451667	6.510709
3	59	2.4000	weather	cell.landform	0	10	3.083333	2.716718
3	59	2.4000	weather	cell.vegetation	0	23	5.525417	7.300241
3	59	2.4000	weather	cell.base_terrain	0	25	5.451667	6.510709
3	59	2.4000	weather	cell.base_landform	0	12	3.100000	2.755752
3	59	2.4000	weather	cell.base_vegetation	0	23	5.510833	7.286509
3	59	2.4000	weather	cell.cover	0	5	0.374167	1.184272
3	59	2.4000	weather	cell.weather_type	0	6	0.577083	1.477292
3	59	2.4000	weather	cell.is_water	0	1	0.653750	0.475774
3	59	2.4000	weather	cell.climate_dirty_mask	1	1	1.000000	0.000000
3	59	2.4000	weather	cell.weather_dirty_mask	0	0	0.000000	0.000000
3	59	2.4000	weather	cell.weather_vapor	0.233366	1.000000	0.699616	0.133276
3	59	2.4000	weather	cell.weather_convergence	0.000000	0.805497	0.318196	0.113019
3	59	2.4000	weather	cell.weather_instability	0.000000	1.000000	0.580187	0.289757
3	59	2.4000	weather	cell.weather_field_init	1	1	1.000000	0.000000
3	59	2.4000	weather	cell.air_mass_temp_anomaly	-0.050924	0.093675	0.002453	0.025897
3	59	2.4000	weather	cell.has_river	0	1	0.070000	0.255147
3	59	2.4000	weather	cell.ema_initialized	1	1	1.000000	0.000000
3	59	2.4000	weather	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
3	59	2.4000	weather	world.sea_ice_fraction_buffer_hash	2520080998	2520080998	2520080998.000000	0
3	60	2.3689	climate	cell.temp	0.000000	1.000000	0.394716	0.258975
3	60	2.3689	climate	cell.temp_baseline	0.000000	0.996061	0.394142	0.287956
3	60	2.3689	climate	cell.temp_30d	0.000000	1.000000	0.403574	0.269683
3	60	2.3689	climate	cell.temp_365d	0.000000	1.000000	0.403574	0.269683
3	60	2.3689	climate	cell.temp_anomaly	-0.000000	0.000000	-0.000000	0.000000
3	60	2.3689	climate	cell.moisture	0.093166	1.000000	0.594885	0.187734
3	60	2.3689	climate	cell.snow_cover	0.000000	0.850000	0.019224	0.115024
3	60	2.3689	climate	cell.sea_ice_frac	0.000000	1.000000	0.059016	0.203206
3	60	2.3689	climate	cell.weather_intensity	0.000000	1.000000	0.091471	0.217019
3	60	2.3689	climate	cell.weather_cloud	0.000000	1.000000	0.351798	0.161369
3	60	2.3689	climate	cell.weather_precip	0.000000	1.000000	0.250434	0.178539
3	60	2.3689	climate	cell.elevation	0.000000	0.911686	0.402331	0.242077
3	60	2.3689	climate	cell.base_moisture	0.210707	1.000000	0.634439	0.187029
3	60	2.3689	climate	cell.ocean_current_x	-0.872092	1.000000	0.017521	0.266886
3	60	2.3689	climate	cell.ocean_current_y	-1.000000	0.543492	0.003498	0.109875
3	60	2.3689	climate	cell.wind_x	-1.000000	0.999986	-0.589347	0.422608
3	60	2.3689	climate	cell.wind_y	-1.000000	0.999997	0.476568	0.496947
3	60	2.3689	climate	cell.slp	-0.395492	1.058657	0.029686	0.378602
3	60	2.3689	climate	cell.wind_speed	0.167144	0.650000	0.550067	0.132901
3	60	2.3689	climate	cell.upwelling_strength	-0.889997	0.000000	-0.260642	0.276142
3	60	2.3689	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
3	60	2.3689	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
3	60	2.3689	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
3	60	2.3689	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
3	60	2.3689	climate	cell.terrain	0	25	5.451667	6.510709
3	60	2.3689	climate	cell.landform	0	10	3.083333	2.716718
3	60	2.3689	climate	cell.vegetation	0	23	5.525417	7.300241
3	60	2.3689	climate	cell.base_terrain	0	25	5.451667	6.510709
3	60	2.3689	climate	cell.base_landform	0	12	3.100000	2.755752
3	60	2.3689	climate	cell.base_vegetation	0	23	5.510833	7.286509
3	60	2.3689	climate	cell.cover	0	5	0.374167	1.184272
3	60	2.3689	climate	cell.weather_type	0	6	0.577083	1.477292
3	60	2.3689	climate	cell.is_water	0	1	0.653750	0.475774
3	60	2.3689	climate	cell.climate_dirty_mask	1	1	1.000000	0.000000
3	60	2.3689	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
3	60	2.3689	climate	cell.weather_vapor	0.233366	1.000000	0.699616	0.133276
3	60	2.3689	climate	cell.weather_convergence	0.000000	0.805497	0.318196	0.113019
3	60	2.3689	climate	cell.weather_instability	0.000000	1.000000	0.580187	0.289757
3	60	2.3689	climate	cell.weather_field_init	1	1	1.000000	0.000000
3	60	2.3689	climate	cell.air_mass_temp_anomaly	-0.050924	0.093675	0.002453	0.025897
3	60	2.3689	climate	cell.has_river	0	1	0.070000	0.255147
3	60	2.3689	climate	cell.ema_initialized	1	1	1.000000	0.000000
3	60	2.3689	climate	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
3	60	2.3689	climate	world.sea_ice_fraction_buffer_hash	2937731439	2937731439	2937731439.000000	0
4	61	2.4819	climate	cell.temp	0.000000	0.999876	0.398367	0.256794
4	61	2.4819	climate	cell.temp_baseline	0.000000	0.996061	0.394142	0.287956
4	61	2.4819	climate	cell.temp_30d	0.000000	1.000000	0.403574	0.269683
4	61	2.4819	climate	cell.temp_365d	0.000000	1.000000	0.403574	0.269683
4	61	2.4819	climate	cell.temp_anomaly	-0.000000	0.000000	-0.000000	0.000000
4	61	2.4819	climate	cell.moisture	0.165131	1.000000	0.582435	0.178156
4	61	2.4819	climate	cell.snow_cover	0.000000	0.850000	0.019224	0.115024
4	61	2.4819	climate	cell.sea_ice_frac	0.000000	1.000000	0.060001	0.206518
4	61	2.4819	climate	cell.weather_intensity	0.000000	1.000000	0.091471	0.217019
4	61	2.4819	climate	cell.weather_cloud	0.000000	1.000000	0.351798	0.161369
4	61	2.4819	climate	cell.weather_precip	0.000000	1.000000	0.250434	0.178539
4	61	2.4819	climate	cell.elevation	0.000000	0.911686	0.402331	0.242077
4	61	2.4819	climate	cell.base_moisture	0.210707	1.000000	0.634439	0.187029
4	61	2.4819	climate	cell.ocean_current_x	-0.872092	1.000000	0.017521	0.266886
4	61	2.4819	climate	cell.ocean_current_y	-1.000000	0.543492	0.003498	0.109875
4	61	2.4819	climate	cell.wind_x	-1.000000	0.999986	-0.589347	0.422608
4	61	2.4819	climate	cell.wind_y	-1.000000	0.999997	0.476568	0.496947
4	61	2.4819	climate	cell.slp	-0.395492	1.058657	0.029686	0.378602
4	61	2.4819	climate	cell.wind_speed	0.167144	0.650000	0.550067	0.132901
4	61	2.4819	climate	cell.upwelling_strength	-0.889997	0.000000	-0.260642	0.276142
4	61	2.4819	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
4	61	2.4819	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
4	61	2.4819	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
4	61	2.4819	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
4	61	2.4819	climate	cell.terrain	0	25	5.451667	6.510709
4	61	2.4819	climate	cell.landform	0	10	3.083333	2.716718
4	61	2.4819	climate	cell.vegetation	0	23	5.525417	7.300241
4	61	2.4819	climate	cell.base_terrain	0	25	5.451667	6.510709
4	61	2.4819	climate	cell.base_landform	0	12	3.100000	2.755752
4	61	2.4819	climate	cell.base_vegetation	0	23	5.510833	7.286509
4	61	2.4819	climate	cell.cover	0	5	0.374167	1.184272
4	61	2.4819	climate	cell.weather_type	0	6	0.577083	1.477292
4	61	2.4819	climate	cell.is_water	0	1	0.653750	0.475774
4	61	2.4819	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
4	61	2.4819	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
4	61	2.4819	climate	cell.weather_vapor	0.233366	1.000000	0.699616	0.133276
4	61	2.4819	climate	cell.weather_convergence	0.000000	0.805497	0.318196	0.113019
4	61	2.4819	climate	cell.weather_instability	0.000000	1.000000	0.580187	0.289757
4	61	2.4819	climate	cell.weather_field_init	1	1	1.000000	0.000000
4	61	2.4819	climate	cell.air_mass_temp_anomaly	-0.050924	0.093675	0.002453	0.025897
4	61	2.4819	climate	cell.has_river	0	1	0.070000	0.255147
4	61	2.4819	climate	cell.ema_initialized	1	1	1.000000	0.000000
4	61	2.4819	climate	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
4	61	2.4819	climate	world.sea_ice_fraction_buffer_hash	2937731439	2937731439	2937731439.000000	0
5	62	2.5374	climate	cell.temp	0.000000	0.999876	0.398233	0.256776
5	62	2.5374	climate	cell.temp_baseline	0.000000	0.996061	0.394142	0.287956
5	62	2.5374	climate	cell.temp_30d	0.000000	1.000000	0.403574	0.269683
5	62	2.5374	climate	cell.temp_365d	0.000000	1.000000	0.403574	0.269683
5	62	2.5374	climate	cell.temp_anomaly	-0.000000	0.000000	-0.000000	0.000000
5	62	2.5374	climate	cell.moisture	0.163625	1.000000	0.580597	0.177646
5	62	2.5374	climate	cell.snow_cover	0.000000	0.850000	0.019224	0.115024
5	62	2.5374	climate	cell.sea_ice_frac	0.000000	1.000000	0.060964	0.209744
5	62	2.5374	climate	cell.weather_intensity	0.000000	1.000000	0.091471	0.217019
5	62	2.5374	climate	cell.weather_cloud	0.000000	1.000000	0.351798	0.161369
5	62	2.5374	climate	cell.weather_precip	0.000000	1.000000	0.250434	0.178539
5	62	2.5374	climate	cell.elevation	0.000000	0.911686	0.402331	0.242077
5	62	2.5374	climate	cell.base_moisture	0.210707	1.000000	0.634439	0.187029
5	62	2.5374	climate	cell.ocean_current_x	-0.872092	1.000000	0.017521	0.266886
5	62	2.5374	climate	cell.ocean_current_y	-1.000000	0.543492	0.003498	0.109875
5	62	2.5374	climate	cell.wind_x	-1.000000	0.999986	-0.589347	0.422608
5	62	2.5374	climate	cell.wind_y	-1.000000	0.999997	0.476568	0.496947
5	62	2.5374	climate	cell.slp	-0.395492	1.058657	0.029686	0.378602
5	62	2.5374	climate	cell.wind_speed	0.167144	0.650000	0.550067	0.132901
5	62	2.5374	climate	cell.upwelling_strength	-0.889997	0.000000	-0.260642	0.276142
5	62	2.5374	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
5	62	2.5374	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
5	62	2.5374	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
5	62	2.5374	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
5	62	2.5374	climate	cell.terrain	0	25	5.451667	6.510709
5	62	2.5374	climate	cell.landform	0	10	3.083333	2.716718
5	62	2.5374	climate	cell.vegetation	0	23	5.525417	7.300241
5	62	2.5374	climate	cell.base_terrain	0	25	5.451667	6.510709
5	62	2.5374	climate	cell.base_landform	0	12	3.100000	2.755752
5	62	2.5374	climate	cell.base_vegetation	0	23	5.510833	7.286509
5	62	2.5374	climate	cell.cover	0	5	0.374167	1.184272
5	62	2.5374	climate	cell.weather_type	0	6	0.577083	1.477292
5	62	2.5374	climate	cell.is_water	0	1	0.653750	0.475774
5	62	2.5374	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
5	62	2.5374	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
5	62	2.5374	climate	cell.weather_vapor	0.233366	1.000000	0.699616	0.133276
5	62	2.5374	climate	cell.weather_convergence	0.000000	0.805497	0.318196	0.113019
5	62	2.5374	climate	cell.weather_instability	0.000000	1.000000	0.580187	0.289757
5	62	2.5374	climate	cell.weather_field_init	1	1	1.000000	0.000000
5	62	2.5374	climate	cell.air_mass_temp_anomaly	-0.050924	0.093675	0.002453	0.025897
5	62	2.5374	climate	cell.has_river	0	1	0.070000	0.255147
5	62	2.5374	climate	cell.ema_initialized	1	1	1.000000	0.000000
5	62	2.5374	climate	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
5	62	2.5374	climate	world.sea_ice_fraction_buffer_hash	2937731439	2937731439	2937731439.000000	0
6	63	2.6041	climate	cell.temp	0.000000	0.999876	0.398087	0.256759
6	63	2.6041	climate	cell.temp_baseline	0.000000	0.996061	0.394142	0.287956
6	63	2.6041	climate	cell.temp_30d	0.000000	1.000000	0.403574	0.269683
6	63	2.6041	climate	cell.temp_365d	0.000000	1.000000	0.403574	0.269683
6	63	2.6041	climate	cell.temp_anomaly	-0.000000	0.000000	-0.000000	0.000000
6	63	2.6041	climate	cell.moisture	0.191662	1.000000	0.579659	0.176255
6	63	2.6041	climate	cell.snow_cover	0.000000	0.850000	0.019224	0.115024
6	63	2.6041	climate	cell.sea_ice_frac	0.000000	1.000000	0.061920	0.212951
6	63	2.6041	climate	cell.weather_intensity	0.000000	1.000000	0.091471	0.217019
6	63	2.6041	climate	cell.weather_cloud	0.000000	1.000000	0.351798	0.161369
6	63	2.6041	climate	cell.weather_precip	0.000000	1.000000	0.250434	0.178539
6	63	2.6041	climate	cell.elevation	0.000000	0.911686	0.402331	0.242077
6	63	2.6041	climate	cell.base_moisture	0.210707	1.000000	0.634439	0.187029
6	63	2.6041	climate	cell.ocean_current_x	-0.872092	1.000000	0.017521	0.266886
6	63	2.6041	climate	cell.ocean_current_y	-1.000000	0.543492	0.003498	0.109875
6	63	2.6041	climate	cell.wind_x	-1.000000	0.999986	-0.589347	0.422608
6	63	2.6041	climate	cell.wind_y	-1.000000	0.999997	0.476568	0.496947
6	63	2.6041	climate	cell.slp	-0.395492	1.058657	0.029686	0.378602
6	63	2.6041	climate	cell.wind_speed	0.167144	0.650000	0.550067	0.132901
6	63	2.6041	climate	cell.upwelling_strength	-0.889997	0.000000	-0.260642	0.276142
6	63	2.6041	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
6	63	2.6041	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
6	63	2.6041	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
6	63	2.6041	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
6	63	2.6041	climate	cell.terrain	0	25	5.451667	6.510709
6	63	2.6041	climate	cell.landform	0	10	3.083333	2.716718
6	63	2.6041	climate	cell.vegetation	0	23	5.525417	7.300241
6	63	2.6041	climate	cell.base_terrain	0	25	5.451667	6.510709
6	63	2.6041	climate	cell.base_landform	0	12	3.100000	2.755752
6	63	2.6041	climate	cell.base_vegetation	0	23	5.510833	7.286509
6	63	2.6041	climate	cell.cover	0	5	0.374167	1.184272
6	63	2.6041	climate	cell.weather_type	0	6	0.577083	1.477292
6	63	2.6041	climate	cell.is_water	0	1	0.653750	0.475774
6	63	2.6041	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
6	63	2.6041	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
6	63	2.6041	climate	cell.weather_vapor	0.233366	1.000000	0.699616	0.133276
6	63	2.6041	climate	cell.weather_convergence	0.000000	0.805497	0.318196	0.113019
6	63	2.6041	climate	cell.weather_instability	0.000000	1.000000	0.580187	0.289757
6	63	2.6041	climate	cell.weather_field_init	1	1	1.000000	0.000000
6	63	2.6041	climate	cell.air_mass_temp_anomaly	-0.050924	0.093675	0.002453	0.025897
6	63	2.6041	climate	cell.has_river	0	1	0.070000	0.255147
